Name,Type,Quantity,Mana,Cost,Power,2,3,4,%,Rules
,,166,365,,,,,,1.11%,
Red,Color,3,4,4,,,,,1.81%,
Orange,Color,3,2,1,,,,,1.81%,
Yellow,Color,3,2,2,,,,,1.81%,
Green,Color,3,1,3,,,,,1.81%,
Cyan,Color,3,3,3,,,,,1.81%,
Blue,Color,3,3,3,,,,,1.81%,
Purple,Color,3,3,3,,,,,1.81%,
Magenta,Color,3,2,2,,,,,1.81%,
White,Color,2,4,4,,,,,1.20%,
Grey,Color,2,2,2,,,,,1.20%,
Black,Color,4,1,1,,,,,2.41%,
Wild,Color,2,,6,,,,,1.20%,
RGB,Synthesis,1,4,,,,,,0.60%,"Can create a Yellow, Cyan, Magenta, or White card."
RGB,Synthesis,1,3,,,,,,0.60%,"Can create a Yellow, Cyan, Magenta, or White card."
RGB,Synthesis,1,2,,,,,,0.60%,"Can create a Yellow, Cyan, Magenta, or White card."
RGB,Synthesis,1,1,,,,,,0.60%,"Can create a Yellow, Cyan, Magenta, or White card."
RYB,Synthesis,1,4,,,,,,0.60%,"Can create an Orange, Green, Purple, or Grey card."
RYB,Synthesis,1,3,,,,,,0.60%,"Can create an Orange, Green, Purple, or Grey card."
RYB,Synthesis,1,2,,,,,,0.60%,"Can create an Orange, Green, Purple, or Grey card."
RYB,Synthesis,1,1,,,,,,0.60%,"Can create an Orange, Green, Purple, or Grey card."
CMYK,Synthesis,1,4,,,,,,0.60%,"Can create a Red, Green, Blue, or Black card."
CMYK,Synthesis,1,3,,,,,,0.60%,"Can create a Red, Green, Blue, or Black card."
CMYK,Synthesis,1,2,,,,,,0.60%,"Can create a Red, Green, Blue, or Black card."
CMYK,Synthesis,1,1,,,,,,0.60%,"Can create a Red, Green, Blue, or Black card."
(1) One,Mana,6,1,,,,,,3.61%,
(2) Two,Mana,5,2,,,,,,3.01%,
(3) Three,Mana,4,3,,,,,,2.41%,
(4) Four,Mana,3,4,,,,,,1.81%,
(5) Five,Mana,2,5,,,,,,1.20%,
(10) Ten,Mana,1,10,,,,,,0.60%,
Diamond,Enhancement,3,4,,,,,,1.81%,Add ◇4 to any completed color set.
Gem,Enhancement,3,3,,,,,,1.81%,Add ◇2 to any color set with two or more cards.
Crystal,Enhancement,3,2,,,,,,1.81%,Add ◇1 to any color set.
Black Diamond,Enhancement,1,5,,,,,,0.60%,Add ◇8 to a completed black set with a diamond.
Epedemic,Cataclysm,1,,6,,,,,0.60%,"All players discard half of their cards, round down."
Turning Tide,Cataclysm,1,,4,,,,,0.60%,Play order reverses.
Legacy,Cataclysm,1,,4,,,,,0.60%,The last card swap is reversed.
Red,Attack,1,1,,2,4,7,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Orange,Attack,1,1,,1,3,4,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Yellow,Attack,1,1,,2,3,4,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Green,Attack,1,1,,1,2,3,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Cyan,Attack,1,1,,2,3,6,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Blue,Attack,1,1,,4,5,6,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Purple,Attack,1,1,,2,4,6,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Magenta,Attack,1,1,,2,3,5,,0.60%,Take ◇ from one target player based on the power rating of the attack.
White,Attack,1,1,,3,8,,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Grey,Attack,1,1,,1,2,,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Black,Attack,1,1,,1,2,3,4,0.60%,Take ◇ from one target player based on the power rating of the attack.
Red/Orange,Attack,1,1,,1,3,6,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Orange/Yellow,Attack,1,1,,0,2,3,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Yellow/Green,Attack,1,1,,1,2,3,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Green/Cyan,Attack,1,1,,0,1,2,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Cyan/Blue),Attack,1,1,,1,2,5,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Blue/Purple,Attack,1,1,,3,4,5,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Purple/Magenta,Attack,1,1,,1,3,5,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Magenta/Red,Attack,1,1,,1,2,4,,0.60%,Take ◇ from one target player based on the power rating of the attack.
White/Grey,Attack,1,1,,2,7,,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Grey/Black,Attack,1,1,,0,1,,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Black/White,Attack,1,1,,0,1,2,3,0.60%,Take ◇ from one target player based on the power rating of the attack.
Wild,Attack,1,1,,1,3,6,,0.60%,Take ◇ from one target player based on the power rating of the attack.
Red,Defense,1,2,,2,4,7,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Orange,Defense,1,2,,1,3,4,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Yellow,Defense,1,2,,2,3,4,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Green,Defense,1,2,,1,2,3,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Cyan,Defense,1,2,,2,3,6,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Blue,Defense,1,2,,4,5,6,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Purple,Defense,1,2,,2,4,6,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Magenta,Defense,1,2,,2,3,5,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
